,ReadId,TileName,TileLength,TilePosition,AlignmentLength,Start,Stop,AlignmentScore,Distance,Suspicious
5171,303,KMVgp36C,498,4,621,466,1087,1150,0,0
5260,326,Pseudin,84,1,77,159,236,102,-113,1
5261,326,Flexiblemedian,54,2,56,123,179,116,-5,0
5262,326,KZ144-CBD,258,3,272,174,446,948,-10,0
5263,326,Vpept,438,4,481,436,917,687,0,0
5272,329,TB_KKG6A,57,1,59,37,96,136,286,1
5273,329,Flexibleshort,30,2,35,382,417,51,-294,1
5274,329,EL188-CBD,351,3,383,123,506,598,-38,0
5275,329,Vpept,438,4,461,468,929,402,0,0
5276,330,Pseudin,84,1,78,93,171,293,303,1
5277,330,Flexiblemedian,54,2,12,474,486,51,-293,1
5278,330,KZ144-CBD,258,3,264,193,457,946,-21,0
5279,330,201j2-1gp229-EAD,540,4,538,436,974,2046,0,0
5356,350,Dermaseptin,93,1,101,87,188,230,372,1
5357,350,Flexiblemedian,54,2,39,560,599,85,-369,1
5358,350,201j2-1gp229-CBD,267,3,267,230,497,588,-270,1
5359,350,PVP-SE1gp146-EAD,561,4,637,227,864,312,0,0
5456,375,Cecropin,105,1,117,744,861,111,-772,1
5457,375,Flexiblemedian,54,2,40,89,129,106,-11,0
5458,375,EL188-CBD,351,3,363,118,481,803,-44,0
5459,375,P2gp09,510,4,515,437,952,1801,0,0
5504,387,Sushi,114,1,115,336,451,110,-339,1
5505,387,Flexiblemedian,54,2,56,112,168,218,-8,0
5506,387,OBPgp279-CBD,396,3,404,160,564,1658,-20,0
5507,387,OBPgp276,540,4,549,544,1093,2291,0,0
5664,427,Pleurocidin,87,1,71,775,846,99,-749,1
5665,427,Flexiblemedian,54,2,48,97,145,133,-7,0
5666,427,201j2-1gp229-CBD,267,3,282,138,420,912,-21,0
5667,427,KZgp181,501,4,521,399,920,1223,0,0
5732,444,CecropinAD,132,1,142,711,853,138,-728,1
5733,444,Flexibleshort,30,2,15,125,140,48,-40,0
5734,444,KZ144-CBD,258,3,282,100,382,412,-29,0
5735,444,OBPgp276,540,4,574,353,927,1151,0,0
5836,470,LL-37,123,1,128,362,490,112,446,1
5837,470,Flexibleshort,30,2,26,936,962,54,-701,1
5838,470,K11gp3.5,465,3,490,261,751,250,-519,1
5839,470,KZ144-EAD,543,4,495,232,727,265,0,0
6008,19,CecropinAD,132,1,140,497,637,144,-597,1
6009,19,Flexibleshort,30,2,31,40,71,53,56,1
6010,19,OBPgp279-CBD,396,3,416,127,543,1070,-37,0
6011,19,Vpept,438,4,452,506,958,805,0,0
6020,22,CecropinAA,120,1,104,418,522,123,-392,1
6021,22,Flexiblemedian,54,2,56,130,186,129,-6,0
6022,22,PVP-SE1gp146-CBD,267,3,282,180,462,899,-26,0
6023,22,KZ144-EAD,543,4,576,436,1012,1622,0,0
6032,25,Sarcotoxin,129,1,96,749,845,127,-347,1
6033,25,Flexiblemedian,54,2,60,498,558,65,-315,1
6034,25,KZ144-CBD,258,3,279,243,522,269,-24,0
6035,25,BcepC6Bgp16,423,4,467,498,965,672,0,0
6044,28,Chrysophsin,87,1,58,454,512,112,-429,1
6045,28,Flexiblemedian,54,2,53,83,136,149,-7,0
6046,28,EL188-CBD,351,3,396,129,525,512,-35,0
6047,28,Vpept,438,4,481,490,971,406,0,0
6064,33,Fowlicidin-2,105,1,127,881,1008,131,-858,1
6065,33,Flexiblemedian,54,2,57,150,207,174,-8,0
6066,33,EL188-CBD,351,3,362,199,561,1462,-21,0
6067,33,PsP3gp10,507,4,497,540,1037,1929,0,0
6220,72,NRC-16,69,1,69,88,157,247,513,1
6221,72,Flexiblemedian,54,2,62,670,732,90,-551,1
6222,72,EL188-CBD,351,3,370,181,551,706,-45,0
6223,72,KMVgp36C,498,4,562,506,1068,1294,0,0
6224,73,Sarcotoxin,129,1,105,472,577,130,-480,1
6225,73,Flexiblemedian,54,2,56,97,153,200,-6,0
6226,73,OBPgp279-CBD,396,3,421,147,568,1460,-24,0
6227,73,P2gp09,510,4,533,544,1077,1793,0,0
6312,95,SMAP29,99,1,106,572,678,133,-533,1
6313,95,Flexiblemedian,54,2,59,145,204,180,-7,0
6314,95,201j2-1gp229-CBD,267,3,266,197,463,622,-35,0
6315,95,P2gp09,510,4,501,428,929,1497,0,0
6456,131,NRC-13,81,1,80,236,316,141,-209,1
6457,131,Flexiblemedian,54,2,56,107,163,187,-7,0
6458,131,PVP-SE1gp146-CBD,267,3,280,156,436,923,-20,0
6459,131,P2gp09,510,4,516,416,932,2001,0,0
6480,137,SMAP29,99,1,96,637,733,140,-628,1
6481,137,Flexiblemedian,54,2,31,105,136,115,39,0
6482,137,KZ144-CBD,258,3,273,175,448,469,-32,0
6483,137,BcepC6Bgp16,423,4,437,416,853,1253,0,0
6528,149,Dermaseptin,93,1,94,78,172,243,89,1
6529,149,Flexiblemedian,54,2,50,261,311,232,-6,0
6530,149,EL188-CBD,351,3,380,305,685,1007,-30,0
6531,149,KZgp181,501,4,512,655,1167,1634,0,0
6540,152,CecropinAD,132,1,122,226,348,104,136,1
6541,152,Flexibleshort,30,2,21,484,505,60,-330,1
6542,152,EL188-CBD,351,3,404,175,579,665,-542,1
6543,152,LysAci7,591,4,641,37,678,344,0,0
6864,233,Sarcotoxin,129,1,142,472,614,132,-483,1
6865,233,Flexiblemedian,54,2,57,131,188,144,-9,0
6866,233,PVP-SE1gp146-CBD,267,3,276,179,455,557,-34,0
6867,233,BcepC6Bgp16,423,4,413,421,834,1192,0,0
6868,234,Sarcotoxin,129,1,126,353,479,118,-320,1
6869,234,Flexiblemedian,54,2,43,159,202,126,-3,0
6870,234,KZ144-CBD,258,3,272,199,471,746,-19,0
6871,234,Vpept,438,4,307,452,759,688,0,0
7000,267,CecropinAA,120,1,98,77,175,296,85,1
7001,267,Flexiblemedian,54,2,57,260,317,192,-5,0
7002,267,EL188-CBD,351,3,356,312,668,1362,-28,0
7003,267,KZ144-EAD,543,4,556,640,1196,2017,0,0
7060,282,Myxinidin,48,1,49,76,125,183,80,1
7061,282,Flexiblemedian,54,2,54,205,259,204,8,0
7062,282,201j2-1gp229-CBD,267,3,272,267,539,950,-22,0
7063,282,PVP-SE1gp146-EAD,561,4,561,517,1078,2260,0,0
7080,287,CecropinAA,120,1,121,554,675,120,-534,1
7081,287,Flexiblemedian,54,2,40,141,181,53,1,0
7082,287,PVP-SE1gp146-CBD,267,3,271,182,453,529,-45,0
7083,287,201j2-1gp229-EAD,540,4,567,408,975,556,0,0
7108,294,LL-37,123,1,101,808,909,118,-829,1
7109,294,Flexibleshort,30,2,30,80,110,132,-12,0
7110,294,OBPgp279-CBD,396,3,408,98,506,1581,-20,0
7111,294,201j2-1gp229-EAD,540,4,554,486,1040,2007,0,0
7256,331,CecropinAD,132,1,137,585,722,134,-604,1
7257,331,Flexibleshort,30,2,30,118,148,150,-6,0
7258,331,EL188-CBD,351,3,358,142,500,1410,-16,0
7259,331,KMVgp36C,498,4,490,484,974,1769,0,0
7300,342,Sarcotoxin,129,1,131,645,776,134,-695,1
7301,342,Flexibleshort,30,2,28,81,109,91,1,0
7302,342,KZ144-CBD,258,3,283,110,393,702,-17,0
7303,342,KMVgp36C,498,4,542,376,918,1369,0,0
7308,344,PAM2,78,1,81,78,159,294,74,1
7309,344,Flexiblemedian,54,2,57,233,290,205,-6,0
7310,344,201j2-1gp229-CBD,267,3,272,284,556,1193,-12,0
7311,344,KMVgp36C,498,4,498,544,1042,1919,0,0
7404,368,3IQ2,81,1,70,99,169,200,52,1
7405,368,Flexiblemedian,54,2,56,221,277,108,-16,0
7406,368,K11gp3.5,465,3,475,261,736,1494,-24,0
7407,368,P2gp09,510,4,524,712,1236,1655,0,0
7584,413,Cathelicidin,102,1,81,332,413,121,-322,1
7585,413,Flexiblemedian,54,2,65,91,156,171,-9,0
7586,413,PVP-SE1gp146-CBD,267,3,274,147,421,850,-24,0
7587,413,BcepC6Bgp16,423,4,442,397,839,1648,0,0
7596,416,CecropinAD,132,1,111,27,138,125,349,1
7597,416,Flexiblemedian,54,2,32,487,519,53,-145,1
7598,416,K11gp3.5,465,3,309,374,683,714,-637,1
7599,416,OBPgp276,540,4,581,46,627,306,0,0
7644,428,CecropinAD,132,1,150,78,228,288,724,1
7645,428,Flexiblemedian,54,2,54,952,1006,79,-757,1
7646,428,EL188-CBD,351,3,374,249,623,697,-40,0
7647,428,PsP3gp10,507,4,506,583,1089,1321,0,0
7664,433,Sarcotoxin,129,1,140,735,875,138,-748,1
7665,433,Flexiblemedian,54,2,45,127,172,87,-15,0
7666,433,EL188-CBD,351,3,371,157,528,1351,-15,0
7667,433,BcepC6Bgp16,423,4,438,513,951,1743,0,0
7688,439,CecropinAD,132,1,129,197,326,112,-179,1
7689,439,Flexiblemedian,54,2,15,147,162,66,60,1
7690,439,KZ144-CBD,258,3,290,222,512,551,-25,0
7691,439,BcepC6Bgp22,507,4,552,487,1039,518,0,0
7820,472,CecropinAD,132,1,105,655,760,125,-702,1
7821,472,Flexiblemedian,54,2,61,58,119,221,-6,0
7822,472,OBPgp279-CBD,396,3,408,113,521,1547,-21,0
7823,472,CR8gp3.5,465,4,476,500,976,1819,0,0
7864,483,Sushi,114,1,120,39,159,406,346,1
7865,483,Flexiblemedian,54,2,61,505,566,97,-395,1
7866,483,201j2-1gp229-CBD,267,3,267,171,438,998,-20,0
7867,483,KMVgp36C,498,4,513,418,931,1771,0,0
7928,499,LL-37,123,1,98,58,156,149,583,1
7929,499,Flexibleshort,30,2,23,739,762,66,-566,1
